Bib,Name,Miles,KM,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31
2290,Laura Yoder,672.3,1082.0,24,15,12,14,20,7,13,0,0,100,5,8,19,12,15,20,22,5,20,15,16,5,51,52,50,16,10,20,25,26,20
4410,Louise Outterson,672.0,1081.5,2,15,10,9,10,16,20,21,22,23,20,25,22,22,19,20,20,20,20,22,25,24,25,25,25,30,31,30,31,35,33
512,Rebeca Ehrnrooth,670.3,1078.8,30,19,18,21,28,16,21,9,49,15,11,16,19,10,24,27,25,27,21,18,22,20,30,21,33,20,23,35,40,0,0
5527,Luis Gomez,670.3,1078.8,11,29,5,0,30,12,33,21,30,42,31,7,15,13,17,28,5,13,15,20,14,62,8,61,44,43,22,0,6,0,12
13322,Andrew Chirico,670.1,1078.4,20,17,22,15,16,7,16,17,23,23,19,21,25,23,20,33,18,19,21,21,25,9,31,24,30,34,20,24,21,23,0
199,John Price,669.9,1078.1,14,18,17,15,13,17,20,21,20,24,21,20,21,21,22,21,20,21,20,21,22,21,24,31,25,20,26,27,26,25,5
2050,Jimmie Barnes,668.8,1076.3,13,12,11,6,13,15,19,12,39,10,20,20,20,25,27,40,33,30,32,27,30,31,33,33,30,35,21,3,7,8,10
6427,Stacy Greenberg,667.3,1074.0,27,10,10,13,10,13,0,33,20,20,30,16,20,20,20,25,25,25,20,22,0,62,25,22,30,30,32,30,30,0,15
1118,Meg Pond Louthan,666.7,1072.9,9,13,43,13,11,13,13,12,26,25,17,18,14,15,16,34,12,23,19,21,23,21,34,30,26,21,21,23,35,32,4
1876,James Arnold,666.6,1072.7,8,24,17,4,13,15,15,16,24,32,10,9,17,18,23,30,21,22,17,21,19,22,24,51,12,11,13,25,26,52,29
10193,Robert Cawood,665.5,1071.0,20,19,17,20,20,20,20,20,19,17,20,20,20,20,20,20,17,20,20,20,20,20,19,17,22,20,20,20,20,18,17
8936,Kathleen Spears,664.8,1069.9,15,26,18,10,18,19,11,16,22,24,17,25,18,23,14,18,17,26,17,18,20,19,26,26,26,22,18,19,21,21,29
7471,David Curtin,664.7,1069.8,15,30,20,13,27,20,20,14,21,16,11,10,13,9,60,73,0,3,3,3,8,14,16,15,18,21,20,22,23,34,36
3151,Alfair Sze Ho Lee,663.6,1068.0,37,1,26,12,9,37,11,13,10,55,4,12,38,16,16,4,50,16,14,41,11,11,3,61,11,14,40,13,11,10,30
407,Faye Weaver,663.0,1067.0,17,26,14,12,13,14,19,11,22,27,19,18,18,21,11,18,11,27,17,21,25,17,27,27,18,18,23,24,16,27,21
4628,Charles Zuckerman,660.9,1063.6,14,23,9,16,32,11,32,15,10,30,24,21,16,16,20,40,21,14,37,20,31,16,10,20,57,18,28,32,0,0,0
18264,Greg Ponych,657.4,1058.0,31,31,24,20,14,23,3,25,37,20,5,25,24,9,23,28,18,13,22,18,16,18,31,24,3,5,25,23,23,32,26
5635,Derek Anaquod,655.8,1055.4,7,21,0,35,24,27,22,35,31,39,7,26,31,30,8,31,45,28,45,34,28,61,21,2,1,1,2,3,3,2,5
10354,CYNTHIA LUCKADOO,654.8,1053.8,15,0,0,30,7,8,10,7,16,10,16,40,15,30,50,20,0,40,35,20,30,26,10,30,15,40,35,40,50,10,0
4752,James Miles,654.6,1053.5,18,15,17,17,17,18,18,16,31,7,19,17,17,19,34,17,15,24,21,20,20,37,25,22,24,20,21,21,18,50,5
1572,Tomer Ben Avi,654.6,1053.4,26,22,19,18,31,26,26,21,13,16,16,25,24,28,10,20,22,19,24,3,3,17,22,31,34,27,29,27,40,5,10
14351,Richard Whitaker,654.5,1053.3,0,22,25,11,24,24,10,25,21,30,9,24,24,13,34,19,30,28,10,30,24,8,29,24,24,4,25,8,24,29,29
141,Terry Bonnett,652.4,1050.0,9,13,7,9,10,11,14,9,13,9,12,25,22,17,29,25,18,20,20,26,23,22,34,22,29,22,27,26,34,20,60
10248,Dave Krupski,652.0,1049.3,20,31,20,29,27,30,40,20,33,25,30,30,30,20,20,37,15,30,13,50,0,2,10,0,0,0,5,15,19,9,25
7771,Charlie Blankenbiller,651.5,1048.4,12,17,16,16,16,15,20,16,21,22,16,17,20,21,15,21,16,17,17,17,20,19,40,21,20,17,20,20,18,23,21
3987,Terri Lemke,651.1,1047.8,11,42,0,9,12,13,29,12,50,12,12,14,21,20,22,21,21,12,14,21,20,21,24,22,12,11,16,21,14,42,14
960,Matt Barker,649.0,1044.5,40,39,30,39,30,42,29,39,49,29,29,29,29,0,20,1,0,3,3,5,0,0,59,0,3,10,8,12,8,24,16
4308,Diana Hopkins,648.0,1042.9,10,26,13,10,10,15,86,100,0,0,0,5,15,13,15,26,12,12,0,0,53,10,13,10,51,15,15,10,51,15,26
9119,Kerry Dycus,647.0,1041.3,6,7,7,9,16,15,18,18,22,15,18,19,16,19,22,18,16,18,26,20,22,22,25,25,23,23,26,32,24,25,23
1905,Yago Paramo,646.7,1040.8,26,24,31,30,36,38,33,32,32,32,31,31,31,31,32,36,38,44,27,32,0,0,0,0,0,0,0,0,0,0,0
17838,Pete Horan,645.5,1038.8,14,23,22,20,14,17,17,31,29,10,19,21,23,13,6,0,100,10,16,16,16,18,34,28,32,16,21,19,18,24,0
1928,Tobias Lundgren,643.7,1036.0,17,22,27,17,29,17,21,16,27,27,17,19,14,18,22,22,26,19,16,16,27,13,13,0,17,19,17,15,14,14,28
264,Amy Mower,643.3,1035.3,20,31,32,18,26,22,15,24,70,20,20,20,2,23,23,32,30,25,14,25,30,64,30,27,0,0,0,0,0,0,0
14203,Marisa Ann,641.7,1032.7,20,35,26,20,20,24,20,10,100,6,22,20,20,21,22,35,25,20,20,20,21,20,62,30,0,0,0,0,0,0,0
2257,Patrick Kerr,641.4,1032.2,13,13,12,13,14,14,14,14,11,15,13,14,19,19,15,12,15,16,15,16,13,16,22,26,15,23,31,19,23,32,34
11999,Andrew Waugh,638.9,1028.2,14,18,24,18,18,15,16,16,21,25,26,12,1,18,15,33,16,16,17,23,13,18,29,40,15,20,14,15,5,21,31
3051,Steven Stewart,638.3,1027.3,0,35,19,10,27,13,0,6,19,24,12,15,18,17,11,28,22,8,20,19,21,19,20,28,22,22,22,22,20,29,27
6748,Tom Reynolds,637.9,1026.6,34,34,33,15,14,15,21,7,25,21,17,18,24,26,42,55,55,48,49,43,45,0,0,0,0,0,0,0,0,0,0
58,Don Pryznyk,637.9,1026.6,45,32,32,32,32,31,6,3,35,13,4,3,4,2,3,6,25,26,26,26,27,25,25,27,25,25,26,26,26,18,2
7802,Francesca Muccini,637.4,1025.8,20,21,20,21,20,21,10,24,26,20,15,0,15,20,20,20,22,20,22,30,17,30,31,21,22,24,21,23,24,36,0
4442,Emma McHugh,637.2,1025.5,20,21,20,20,16,21,20,21,22,21,20,22,20,15,20,23,21,20,21,21,12,20,20,23,22,21,25,21,21,27,21
4961,Terri Rashid,637.1,1025.3,22,13,12,19,27,11,12,20,24,19,22,20,14,13,23,18,6,31,20,13,19,20,13,6,39,20,21,15,19,22,16
15073,Chris Stoehrmann,637.0,1025.2,5,35,22,11,17,25,25,23,33,15,20,23,19,25,24,5,2,4,5,7,4,9,29,39,25,22,19,28,13,10,23
11493,Jeff Dalzell,636.9,1025.0,12,10,20,11,14,13,15,11,21,20,13,13,18,21,22,23,10,23,22,23,23,23,11,23,22,22,25,23,24,24,24
4126,Tobias Frenz,636.6,1024.5,32,24,25,21,23,25,32,22,29,23,18,23,24,24,25,37,24,25,27,26,26,26,46,29,0,0,0,0,0,0,0
4693,Bernard Etienne,636.5,1024.3,12,12,0,19,21,31,40,48,21,31,26,10,42,26,25,0,0,40,32,41,24,26,55,22,0,0,0,0,14,0,20
4257,Wayne Bullard,636.4,1024.2,31,15,12,11,12,10,17,34,11,13,20,9,14,12,17,19,16,10,15,17,14,19,42,22,20,15,20,16,30,19,31
6061,David Whiteside,636.4,1024.1,11,20,15,12,16,11,13,16,48,12,12,14,15,16,19,31,29,20,26,26,27,32,50,34,31,26,29,23,0,0,0
15170,Robert Willis,636.3,1024.0,9,10,10,10,13,15,15,14,26,14,16,19,12,16,15,26,16,16,17,26,16,20,26,13,15,20,19,21,20,26,30
2295,Israel Archuletta,636.2,1023.9,10,42,11,29,10,32,24,25,30,14,28,14,5,15,5,10,30,13,21,23,24,13,25,25,25,25,21,23,27,22,18
3581,Albert Heikens,636.1,1023.7,13,22,13,19,53,19,21,21,21,19,4,43,11,19,7,19,14,13,11,16,19,14,42,11,17,17,33,13,14,10,15
15,Jerry Palmer,636.0,1023.5,15,31,8,15,17,8,20,10,20,22,10,22,10,21,11,25,25,16,16,23,13,21,26,26,20,21,20,22,21,27,29
6148,CHRISTINA VINCENT,636.0,1023.5,29,27,23,9,0,0,13,29,27,23,0,0,20,17,25,25,26,17,25,10,17,0,15,25,32,16,18,11,42,31,32
4426,Giulia Ranzuglia,636.0,1023.5,28,9,19,16,12,14,15,12,28,14,14,13,21,15,14,31,16,15,10,16,16,11,62,10,13,14,16,19,14,16,39
2609,Wilma Dierx,635.7,1023.0,16,26,20,29,14,19,19,26,24,29,20,13,20,13,24,26,27,16,19,16,19,36,38,20,22,19,17,16,13,22,0
6500,David Pharr,635.6,1022.9,4,12,15,15,15,13,17,15,21,17,19,17,14,18,16,23,13,18,21,24,27,17,34,15,27,27,11,19,26,40,23
23,Dave Baird,635.5,1022.8,13,20,17,9,15,14,13,9,19,10,14,17,19,18,13,16,11,21,23,20,20,21,22,26,21,21,20,21,20,30,25
15997,Richard McGrath,635.5,1022.7,0,0,11,9,12,9,11,11,27,13,14,14,16,19,13,21,13,22,22,22,22,18,4,0,10,17,14,28,28,45,32
12310,Kerry Ward,635.4,1022.6,9,13,15,13,15,13,12,12,11,18,18,16,18,17,18,15,32,13,14,21,17,18,21,20,20,21,24,15,24,23,27
10668,Bobby Whittington,635.4,1022.5,13,15,15,20,16,15,8,22,21,12,26,21,15,25,16,5,9,23,23,7,28,23,18,6,10,28,25,25,17,32,12
4798,Aaron Bloom,635.3,1022.5,26,26,27,27,27,26,27,14,28,14,28,23,13,27,0,4,0,1,27,29,22,26,30,29,29,27,27,29,24,0,0
2371,Cary Morgan,635.2,1022.3,20,21,21,20,20,25,23,20,31,26,23,22,20,21,20,24,21,20,20,20,21,20,20,20,21,20,20,20,13,21,0
13424,Tracy Schultz,635.2,1022.3,0,6,19,16,18,20,20,17,25,27,20,25,20,22,22,34,27,15,34,30,20,45,38,38,35,40,0,0,0,0,0
4877,Varden Morris,635.2,1022.2,26,26,0,26,26,32,34,34,60,26,41,41,41,34,0,26,7,0,0,4,26,26,0,0,0,0,9,12,12,12,8
1028,Leonie van den Haak,635.1,1022.1,0,15,10,0,13,0,12,12,37,5,12,16,16,19,13,37,9,16,22,22,20,23,38,8,17,29,21,30,17,47,12
9753,Harvey Lewis,635.1,1022.1,29,28,31,32,31,30,35,32,33,36,31,40,31,28,12,3,8,14,13,57,81,0,0,0,0,0,0,0,0,0,0
381,Jani Saarinen,635.0,1022.0,0,19,28,27,21,22,25,20,27,18,20,43,19,22,22,28,25,20,22,22,32,29,29,33,42,21,0,0,0,0,0
1696,Kat Yeager,635.0,1021.9,20,15,15,15,15,15,20,15,15,10,20,20,20,20,20,15,10,20,20,20,20,20,15,20,5,20,20,21,30,20,15
2131,Bud Johnson,635.0,1021.9,21,17,20,14,13,15,16,16,17,21,16,16,17,21,18,17,20,26,16,20,15,17,21,23,21,16,19,20,22,20,21
1553,Sunny Bhanawala,632.5,1017.9,37,0,50,8,32,6,3,16,37,62,9,19,12,10,11,47,28,10,20,9,16,22,56,4,10,6,3,3,3,32,37
5963,Catra Corbett,629.0,1012.3,12,9,13,10,8,5,0,100,6,7,32,10,20,20,20,20,18,12,20,10,10,20,20,20,16,20,20,20,20,20,25
